Date_Time,   npoints,   u_starr,   taur,   Hcr,   LE_wplr,   Evap,   Fc_wplr,  Fc_wpl_umol,   CO2_conc,  CO2_PPM,   CO2_sig_str,   H2O_conc,   H2O_sig_str,   Temp_amb,  Amb_Press,   wind_speed,   wind_dir_sonic,  obukhov,  zeta,  rou,  sigmaw_ustar,  Xmax,  XR90
TS,   Tot,   m/s,   Kg(m s^2),   W/m^2,   W/m^2,   L/m^2,   mg/(m^2 s),  umol/(m^2 s),   mg/m^3,  PPM,   arb,   g/m^3,   arb,   C,  kPa,   m/s,   deg,   m,   arb,   m,  arb,   m,  m,  
18/01/02 2:30 3:00,  18000.0,   0.364252,   -0.165618,   26.348465,   79.302464,   0.056519,   -0.006694,   -0.152096,   750.339827,   395.619526,   0.959001,   2.448594,   0.947968,   -0.879405,   97.724705,   8.604580,   111.861805,   -136.882551,   -0.014611,   0.000196,   3.369108,   52.785243,   105.570485,  
18/01/02 3:00 3:30,  18000.0,   0.314180,   -0.123169,   22.586463,   65.096055,   0.046382,   -0.005737,   -0.130369,   749.986251,   395.578363,   0.959001,   2.470582,   0.947955,   -0.799770,   97.722135,   8.148352,   103.014882,   -103.093335,   -0.019400,   0.000146,   4.205916,   50.983005,   101.966009,  
18/01/02 3:30 4:00,  17999.0,   0.324815,   -0.131553,   18.181994,   67.221790,   0.047970,   -0.004072,   -0.092532,   749.448292,   395.580678,   0.959000,   2.482348,   0.947961,   -0.596422,   97.721366,   8.002221,   98.813033,   -136.129584,   -0.014692,   0.000156,   3.773839,   53.846190,   107.692381,  
18/01/02 4:00 4:30,  18000.0,   0.350877,   -0.153357,   15.136294,   71.093605,   0.050795,   -0.001378,   -0.031315,   748.718063,   395.591333,   0.959001,   2.501693,   0.947946,   -0.326725,   97.711424,   8.543387,   98.974052,   -196.889637,   -0.010158,   0.000182,   3.516593,   52.885101,   105.770203,  
18/01/02 4:30 5:00,  18000.0,   0.409883,   -0.209041,   12.001902,   77.992055,   0.055793,   -0.000302,   -0.006873,   748.113167,   395.709122,   0.959001,   2.534379,   0.947886,   -0.068100,   97.695140,   8.504759,   94.237630,   -366.269753,   -0.005460,   0.000248,   2.607176,   57.799261,   115.598521,  
18/01/02 5:00 5:30,  18000.0,   0.323469,   -0.130146,   12.659108,   66.204396,   0.047326,   -0.002034,   -0.046219,   747.945676,   395.752552,   0.959001,   2.573582,   0.947918,   0.033190,   97.695188,   8.112643,   98.656580,   -180.089722,   -0.011106,   0.000155,   3.900503,   52.653090,   105.306180,  
18/01/02 5:30 6:00,  17999.0,   0.386359,   -0.185564,   10.532007,   74.378179,   0.053230,   -0.001773,   -0.040284,   747.555886,   395.777411,   0.959000,   2.550905,   0.947874,   0.217854,   97.693910,   8.362205,   98.261447,   -341.521548,   -0.005856,   0.000220,   2.831569,   57.296790,   114.593581,  
18/01/02 6:00 6:30,  18000.0,   0.360856,   -0.161805,   9.361409,   72.771170,   0.052101,   -0.007839,   -0.178130,   747.623460,   395.983455,   0.959000,   2.536958,   0.947860,   0.332291,   97.698091,   7.832255,   98.173757,   -304.270694,   -0.006573,   0.000192,   2.972080,   58.885817,   117.771634,  
18/01/02 6:30 7:00,  18000.0,   0.321419,   -0.128268,   6.786899,   62.312338,   0.044630,   -0.005316,   -0.120796,   747.024340,   395.983798,   0.959000,   2.614563,   0.947954,   0.512730,   97.690079,   7.205279,   96.972755,   -280.950538,   -0.007119,   0.000153,   3.479902,   58.040068,   116.080136,  
18/01/02 7:00 7:30,  17999.0,   0.284116,   -0.100167,   5.100864,   55.857023,   0.040018,   -0.003951,   -0.089787,   746.744398,   396.052838,   0.959000,   2.697245,   0.947926,   0.635623,   97.682999,   6.974261,   100.085632,   -242.190373,   -0.008258,   0.000119,   4.088364,   57.450439,   114.900877,  
