year month day id wd wsd tmp
2002 01 03 89512 200 12 -.2
2002 01 03 89512 110 18 3.1
2002 01 03 89512 180 4 3.8
2002 01 04 89512 150 20 -.3
2002 01 04 89512 180 22 1.5
2002 01 04 89512 350 8 3
2002 01 04 89512 320 8 2
2002 01 05 89512 110 2 -.2
2002 01 05 89512 20 8 -2.4
2002 01 05 89512 130 12 -.9
2002 01 05 89512 360 4 -1.1
2002 01 06 89512 190 8 -2.6
2002 01 06 89512 90 4 -2.5
2002 01 06 89512 100 2 2.3
2002 01 06 89512 40 2 1.5
2002 01 07 89512 200 14 -1
2002 01 07 89512 180 28 -.2
2002 01 07 89512 90 6 2.6
2002 01 07 89512 30 2 2
2002 01 08 89512 200 14 -.9
2002 01 08 89512 180 22 1
2002 01 08 89512 120 16 2.7
2002 01 08 89512 200 2 4.7
2002 01 09 89512 170 18 -.8
2002 01 09 89512 190 22 -.1
2002 01 09 89512 120 8 1
2002 01 09 89512 20 4 -.6
2002 01 10 89512 180 12 -1.1
2002 01 10 89512 190 24 .8
2002 01 10 89512 110 8 5.6
2002 01 10 89512 120 4 3.2
2002 01 11 89512 180 26 1.9
2002 01 11 89512 130 24 1.7
2002 01 14 89512 200 16 1.1
2002 01 14 89512 140 10 3
2002 01 14 89512 30 4 -.9
2002 01 14 89512 340 6 -1.2
2002 01 15 89512 30 2 -1.7
2002 01 15 89512 10 4 -2.1
2002 01 15 89512 90 12 -1.6
2002 01 15 89512 70 6 -1.4
2002 01 16 89512 100 10 -2.5
2002 01 16 89512 130 18 -3
2002 01 16 89512 110 26 -.3
2002 01 16 89512 120 20 -1.3
2002 01 17 89512 130 12 -1.7
2002 01 17 89512 130 16 -1.4
2002 01 17 89512 100 14 -1.8
2002 01 17 89512 100 22 .4
2002 01 18 89512 120 24 -1.1
2002 01 18 89512 120 26 -1.2
2002 01 18 89512 120 36 .9
2002 01 18 89512 120 38 .4
2002 01 19 89512 230 26 -.2
2002 01 19 89512 120 28 -.5
2002 01 19 89512 100 24 .7
