"Plot Title: PARVATI"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 20183676, SEN S/N: 20183676, LBL: PRES)","Temp, °C (LGR S/N: 20183676, SEN S/N: 20183676, LBL: TMP)","Water Level, meters (LGR S/N: 20183676)","Coupler Detached (LGR S/N: 20183676)","Coupler Attached (LGR S/N: 20183676)","Host Connected (LGR S/N: 20183676)","Stopped (LGR S/N: 20183676)","End Of File (LGR S/N: 20183676)"
218,01.01.18 klo 03.10.00 ap.,99.578,0.563,100.288,,,,,
219,01.01.18 klo 03.20.00 ap.,99.578,0.563,100.288,,,,,
220,01.01.18 klo 03.30.00 ap.,99.578,0.563,100.288,,,,,
221,01.01.18 klo 03.40.00 ap.,99.578,0.563,100.288,,,,,
222,01.01.18 klo 03.50.00 ap.,99.569,0.563,100.287,,,,,
223,01.01.18 klo 04.00.00 ap.,99.588,0.563,100.289,,,,,
224,01.01.18 klo 04.10.00 ap.,99.585,0.453,100.288,,,,,
225,01.01.18 klo 04.20.00 ap.,99.578,0.563,100.288,,,,,
226,01.01.18 klo 04.30.00 ap.,99.597,0.563,100.290,,,,,
227,01.01.18 klo 04.40.00 ap.,99.597,0.563,100.290,,,,,
228,01.01.18 klo 04.50.00 ap.,99.616,0.563,100.292,,,,,
229,01.01.18 klo 05.00.00 ap.,99.616,0.563,100.292,,,,,
230,01.01.18 klo 05.10.00 ap.,99.625,0.563,100.292,,,,,
231,01.01.18 klo 05.20.00 ap.,99.644,0.563,100.294,,,,,
232,01.01.18 klo 05.30.00 ap.,99.638,0.674,100.294,,,,,
233,01.01.18 klo 05.40.00 ap.,99.628,0.674,100.293,,,,,
234,01.01.18 klo 05.50.00 ap.,99.638,0.674,100.294,,,,,
235,01.01.18 klo 06.00.00 ap.,99.647,0.674,100.295,,,,,
236,01.01.18 klo 06.10.00 ap.,99.619,0.674,100.292,,,,,
237,01.01.18 klo 06.20.00 ap.,99.619,0.674,100.292,,,,,
238,01.01.18 klo 06.30.00 ap.,99.628,0.674,100.293,,,,,
239,01.01.18 klo 06.40.00 ap.,99.638,0.674,100.294,,,,,
240,01.01.18 klo 06.50.00 ap.,99.647,0.674,100.295,,,,,
241,01.01.18 klo 07.00.00 ap.,99.657,0.674,100.296,,,,,
242,01.01.18 klo 07.10.00 ap.,99.678,0.784,100.298,,,,,
243,01.01.18 klo 07.20.00 ap.,99.669,0.784,100.297,,,,,
244,01.01.18 klo 07.30.00 ap.,99.688,0.784,100.299,,,,,
245,01.01.18 klo 07.40.00 ap.,99.697,0.784,100.300,,,,,
246,01.01.18 klo 07.50.00 ap.,99.700,0.893,100.300,,,,,
247,01.01.18 klo 08.00.00 ap.,99.710,0.893,100.301,,,,,
248,01.01.18 klo 08.10.00 ap.,99.747,0.893,100.305,,,,,
249,01.01.18 klo 08.20.00 ap.,99.728,0.893,100.303,,,,,
250,01.01.18 klo 08.30.00 ap.,99.741,1.003,100.304,,,,,
251,01.01.18 klo 08.40.00 ap.,99.760,1.003,100.306,,,,,
252,01.01.18 klo 08.50.00 ap.,99.788,1.003,100.309,,,,,
253,01.01.18 klo 09.00.00 ap.,99.734,1.112,100.303,,,,,
254,01.01.18 klo 09.10.00 ap.,99.753,1.112,100.305,,,,,
255,01.01.18 klo 09.20.00 ap.,99.784,1.221,100.308,,,,,
256,01.01.18 klo 09.30.00 ap.,99.784,1.221,100.308,,,,,
257,01.01.18 klo 09.40.00 ap.,99.787,1.330,100.309,,,,,
258,01.01.18 klo 09.50.00 ap.,99.806,1.330,100.311,,,,,
259,01.01.18 klo 10.00.00 ap.,99.825,1.330,100.313,,,,,
260,01.01.18 klo 10.10.00 ap.,99.837,1.439,100.314,,,,,
261,01.01.18 klo 10.20.00 ap.,99.819,1.439,100.312,,,,,
262,01.01.18 klo 10.30.00 ap.,99.828,1.439,100.313,,,,,
263,01.01.18 klo 10.40.00 ap.,99.866,1.439,100.317,,,,,
264,01.01.18 klo 10.50.00 ap.,99.856,1.439,100.316,,,,,
265,01.01.18 klo 11.00.00 ap.,99.856,1.439,100.316,,,,,
266,01.01.18 klo 11.10.00 ap.,99.847,1.439,100.315,,,,,
267,01.01.18 klo 11.20.00 ap.,99.837,1.439,100.314,,,,,
268,01.01.18 klo 11.30.00 ap.,99.875,1.439,100.318,,,,,
269,01.01.18 klo 11.40.00 ap.,99.875,1.439,100.318,,,,,
270,01.01.18 klo 11.50.00 ap.,99.885,1.439,100.319,,,,,
271,01.01.18 klo 12.00.00 ip.,99.891,1.330,100.319,,,,,
272,01.01.18 klo 12.10.00 ip.,99.891,1.330,100.319,,,,,
273,01.01.18 klo 12.20.00 ip.,99.900,1.330,100.320,,,,,
274,01.01.18 klo 12.30.00 ip.,99.891,1.330,100.319,,,,,
275,01.01.18 klo 12.40.00 ip.,99.910,1.330,100.321,,,,,
276,01.01.18 klo 12.50.00 ip.,99.910,1.330,100.321,,,,,
277,01.01.18 klo 01.00.00 ip.,99.919,1.330,100.322,,,,,
278,01.01.18 klo 01.10.00 ip.,99.929,1.330,100.323,,,,,
279,01.01.18 klo 01.20.00 ip.,99.910,1.330,100.321,,,,,
280,01.01.18 klo 01.30.00 ip.,99.922,1.439,100.322,,,,,
281,01.01.18 klo 01.40.00 ip.,99.913,1.439,100.322,,,,,
282,01.01.18 klo 01.50.00 ip.,99.913,1.439,100.322,,,,,
283,01.01.18 klo 02.00.00 ip.,99.944,1.548,100.325,,,,,
284,01.01.18 klo 02.10.00 ip.,99.935,1.548,100.324,,,,,
285,01.01.18 klo 02.20.00 ip.,99.925,1.548,100.323,,,,,
286,01.01.18 klo 02.30.00 ip.,99.956,1.656,100.326,,,,,
287,01.01.18 klo 02.40.00 ip.,99.928,1.656,100.323,,,,,
288,01.01.18 klo 02.50.00 ip.,99.931,1.764,100.323,,,,,
289,01.01.18 klo 03.00.00 ip.,99.922,1.764,100.322,,,,,
290,01.01.18 klo 03.10.00 ip.,99.925,1.872,100.323,,,,,
291,01.01.18 klo 03.20.00 ip.,99.934,1.872,100.324,,,,,
292,01.01.18 klo 03.30.00 ip.,99.915,1.872,100.322,,,,,
293,01.01.18 klo 03.40.00 ip.,99.915,1.872,100.322,,,,,
294,01.01.18 klo 03.50.00 ip.,99.925,1.872,100.323,,,,,
295,01.01.18 klo 04.00.00 ip.,99.899,1.980,100.320,,,,,
296,01.01.18 klo 04.10.00 ip.,99.909,1.980,100.321,,,,,
297,01.01.18 klo 04.20.00 ip.,99.909,1.980,100.321,,,,,
298,01.01.18 klo 04.30.00 ip.,99.909,1.980,100.321,,,,,
299,01.01.18 klo 04.40.00 ip.,99.909,1.980,100.321,,,,,
300,01.01.18 klo 04.50.00 ip.,99.880,1.980,100.318,,,,,
301,01.01.18 klo 05.00.00 ip.,99.883,2.088,100.318,,,,,
302,01.01.18 klo 05.10.00 ip.,99.902,2.088,100.320,,,,,
303,01.01.18 klo 05.20.00 ip.,99.905,2.195,100.321,,,,,
304,01.01.18 klo 05.30.00 ip.,99.883,2.410,100.318,,,,,
305,01.01.18 klo 05.40.00 ip.,99.895,2.517,100.320,,,,,
306,01.01.18 klo 05.50.00 ip.,99.889,2.624,100.319,,,,,
307,01.01.18 klo 06.00.00 ip.,99.905,2.517,100.321,,,,,
308,01.01.18 klo 06.10.00 ip.,99.902,2.410,100.320,,,,,
309,01.01.18 klo 06.20.00 ip.,99.883,2.410,100.318,,,,,
310,01.01.18 klo 06.30.00 ip.,99.889,2.303,100.319,,,,,
311,01.01.18 klo 06.40.00 ip.,99.877,2.195,100.318,,,,,
312,01.01.18 klo 06.50.00 ip.,99.877,2.195,100.318,,,,,
313,01.01.18 klo 07.00.00 ip.,99.874,2.088,100.317,,,,,
314,01.01.18 klo 07.10.00 ip.,99.874,2.088,100.317,,,,,
315,01.01.18 klo 07.20.00 ip.,99.883,2.088,100.318,,,,,
316,01.01.18 klo 07.30.00 ip.,99.893,2.088,100.319,,,,,
317,01.01.18 klo 07.40.00 ip.,99.874,2.088,100.317,,,,,
318,01.01.18 klo 07.50.00 ip.,99.862,1.980,100.316,,,,,
319,01.01.18 klo 08.00.00 ip.,99.871,1.980,100.317,,,,,
320,01.01.18 klo 08.10.00 ip.,99.880,1.980,100.318,,,,,
321,01.01.18 klo 08.20.00 ip.,99.887,1.872,100.319,,,,,
322,01.01.18 klo 08.30.00 ip.,99.878,1.872,100.318,,,,,
323,01.01.18 klo 08.40.00 ip.,99.884,1.764,100.319,,,,,
324,01.01.18 klo 08.50.00 ip.,99.875,1.764,100.318,,,,,
325,01.01.18 klo 09.00.00 ip.,99.890,1.656,100.319,,,,,
326,01.01.18 klo 09.10.00 ip.,99.919,1.656,100.322,,,,,
327,01.01.18 klo 09.20.00 ip.,99.900,1.656,100.320,,,,,
328,01.01.18 klo 09.30.00 ip.,99.919,1.656,100.322,,,,,
329,01.01.18 klo 09.40.00 ip.,99.906,1.548,100.321,,,,,
330,01.01.18 klo 09.50.00 ip.,99.906,1.548,100.321,,,,,
331,01.01.18 klo 10.00.00 ip.,99.916,1.548,100.322,,,,,
332,01.01.18 klo 10.10.00 ip.,99.888,1.548,100.319,,,,,
333,01.01.18 klo 10.20.00 ip.,99.906,1.548,100.321,,,,,
334,01.01.18 klo 10.30.00 ip.,99.903,1.439,100.321,,,,,
335,01.01.18 klo 10.40.00 ip.,99.932,1.439,100.323,,,,,
336,01.01.18 klo 10.50.00 ip.,99.941,1.439,100.324,,,,,
337,01.01.18 klo 11.00.00 ip.,99.932,1.439,100.323,,,,,
338,01.01.18 klo 11.10.00 ip.,99.951,1.439,100.325,,,,,
339,01.01.18 klo 11.20.00 ip.,99.948,1.330,100.325,,,,,
340,01.01.18 klo 11.30.00 ip.,99.938,1.330,100.324,,,,,
341,01.01.18 klo 11.40.00 ip.,99.938,1.330,100.324,,,,,
342,01.01.18 klo 11.50.00 ip.,99.938,1.330,100.324,,,,,
343,01.02.18 klo 12.00.00 ap.,99.938,1.330,100.324,,,,,
344,01.02.18 klo 12.10.00 ap.,99.929,1.330,100.323,,,,,
345,01.02.18 klo 12.20.00 ap.,99.919,1.330,100.322,,,,,
346,01.02.18 klo 12.30.00 ap.,99.938,1.330,100.324,,,,,
347,01.02.18 klo 12.40.00 ap.,99.916,1.221,100.322,,,,,
