"Plot Title: LAKSHMI"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 20183678, SEN S/N: 20183678, LBL: PRES)","Temp, °C (LGR S/N: 20183678, SEN S/N: 20183678, LBL: TMP)","Coupler Detached (LGR S/N: 20183678)","Coupler Attached (LGR S/N: 20183678)","Host Connected (LGR S/N: 20183678)","Stopped (LGR S/N: 20183678)","End Of File (LGR S/N: 20183678)"
326,12.14.19 klo 04.30.00 ip.,105.678,4.415,,,,,
327,12.14.19 klo 05.00.00 ip.,105.722,4.519,,,,,
328,12.14.19 klo 05.30.00 ip.,105.767,4.415,,,,,
329,12.14.19 klo 06.00.00 ip.,105.762,4.311,,,,,
330,12.14.19 klo 06.30.00 ip.,105.744,4.102,,,,,
331,12.14.19 klo 07.00.00 ip.,105.720,3.998,,,,,
332,12.14.19 klo 07.30.00 ip.,105.725,3.893,,,,,
333,12.14.19 klo 08.00.00 ip.,105.735,2.943,,,,,
334,12.14.19 klo 08.30.00 ip.,105.849,2.837,,,,,
335,12.14.19 klo 09.00.00 ip.,105.946,3.049,,,,,
336,12.14.19 klo 09.30.00 ip.,106.049,3.155,,,,,
337,12.14.19 klo 10.00.00 ip.,106.118,3.155,,,,,
338,12.14.19 klo 10.30.00 ip.,106.173,3.049,,,,,
339,12.14.19 klo 11.00.00 ip.,106.208,2.943,,,,,
340,12.14.19 klo 11.30.00 ip.,106.262,2.837,,,,,
341,12.15.19 klo 12.00.00 ap.,106.269,2.517,,,,,
342,12.15.19 klo 12.30.00 ap.,106.306,1.980,,,,,
343,12.15.19 klo 01.00.00 ap.,106.349,0.893,,,,,
344,12.15.19 klo 01.30.00 ap.,106.345,1.980,,,,,
345,12.15.19 klo 02.00.00 ap.,106.409,2.088,,,,,
346,12.15.19 klo 02.30.00 ap.,106.443,1.980,,,,,
347,12.15.19 klo 03.00.00 ap.,106.468,1.872,,,,,
348,12.15.19 klo 03.30.00 ap.,106.486,1.112,,,,,
349,12.15.19 klo 04.00.00 ap.,106.492,0.784,,,,,
350,12.15.19 klo 04.30.00 ap.,106.531,0.784,,,,,
351,12.15.19 klo 05.00.00 ap.,106.550,1.003,,,,,
352,12.15.19 klo 05.30.00 ap.,106.578,1.439,,,,,
353,12.15.19 klo 06.00.00 ap.,106.613,1.548,,,,,
354,12.15.19 klo 06.30.00 ap.,106.641,1.764,,,,,
355,12.15.19 klo 07.00.00 ap.,106.627,1.656,,,,,
356,12.15.19 klo 07.30.00 ap.,106.617,1.656,,,,,
357,12.15.19 klo 08.00.00 ap.,106.602,1.764,,,,,
358,12.15.19 klo 08.30.00 ap.,106.607,1.656,,,,,
359,12.15.19 klo 09.00.00 ap.,106.637,1.656,,,,,
360,12.15.19 klo 09.30.00 ap.,106.631,1.764,,,,,
361,12.15.19 klo 10.00.00 ap.,106.612,1.764,,,,,
362,12.15.19 klo 10.30.00 ap.,106.649,2.410,,,,,
363,12.15.19 klo 11.00.00 ap.,106.673,2.517,,,,,
364,12.15.19 klo 11.30.00 ap.,106.692,1.330,,,,,
365,12.15.19 klo 12.00.00 ip.,106.746,1.439,,,,,
366,12.15.19 klo 12.30.00 ip.,106.765,1.656,,,,,
367,12.15.19 klo 01.00.00 ip.,106.833,1.872,,,,,
368,12.15.19 klo 01.30.00 ip.,106.911,2.088,,,,,
369,12.15.19 klo 02.00.00 ip.,107.049,2.088,,,,,
370,12.15.19 klo 02.30.00 ip.,107.187,2.088,,,,,
371,12.15.19 klo 03.00.00 ip.,107.328,2.624,,,,,
372,12.15.19 klo 03.30.00 ip.,107.461,2.730,,,,,
