year month day id wd wsd tmp
2002 12 21 89512 90 18 -1.6
2002 12 21 89512 120 16 -.9
2002 12 21 89512 130 6 -.3
2002 12 21 89512 110 4 .6
2002 12 22 89512 160 6 -1.6
2002 12 22 89512 140 10 -.3
2002 12 22 89512 120 6 1.6
2002 12 22 89512 190 6 1.9
2002 12 23 89512 220 6 -1.4
2002 12 23 89512 110 6 -5.4
2002 12 23 89512 120 6 -1.2
2002 12 23 89512 240 4 6
2002 12 24 89512 290 10 -2.6
2002 12 24 89512 120 6 -3
2002 12 24 89512 100 10 -.4
2002 12 24 89512 160 2 1.2
2002 12 25 89512 200 14 -2
2002 12 25 89512 250 2 -1.1
2002 12 25 89512 120 24 .7
2002 12 25 89512 120 8 1.2
2002 12 26 89512 170 10 .4
2002 12 26 89512 160 18 -.3
2002 12 26 89512 70 10 1.2
2002 12 26 89512 30 4 -.5
2002 12 27 89512 200 10 -2
2002 12 27 89512 160 10 -.1
2002 12 27 89512 40 4 -.2
2002 12 27 89512 40 4 -2.4
2002 12 28 89512 150 4 -3.4
2002 12 28 89512 20 4 -3.4
2002 12 28 89512 140 6 -2
2002 12 28 89512 30 2 -2.4
2002 12 29 89512 180 2 -4.7
2002 12 29 89512 130 2 -2.5
2002 12 29 89512 130 4 -1.4
2002 12 29 89512 50 4 -1.2
2002 12 30 89512 160 12 -2.6
2002 12 30 89512 260 8 -5.4
2002 12 30 89512 100 10 -2.2
2002 12 30 89512 30 6 -1.6
2002 12 31 89512 140 2 -3.8
2002 12 31 89512 130 26 -.6
2002 12 31 89512 120 18 1.2
2002 12 31 89512 110 14 .8
2003 12 01 89512 160 22 -1.5
2003 12 01 89512 130 18 -.4
2003 12 01 89512 110 10 1.9
2003 12 01 89512 140 8 1.7
2003 12 02 89512 160 26 -.9
2003 12 02 89512 120 20 -.8
2003 12 02 89512 90 24 -.3
2003 12 02 89512 130 14 -2.3
2003 12 03 89512 160 22 -3.9
2003 12 03 89512 130 30 -3.5
2003 12 03 89512 100 18 -1.8
2003 12 03 89512 120 12 -2.4
2003 12 04 89512 130 40 -5.1
2003 12 04 89512 130 38 -4.6
2003 12 04 89512 110 32 -3.2
2003 12 04 89512 120 30 -3.8
2003 12 05 89512 130 20 -4.3
2003 12 05 89512 160 20 -3.5
2003 12 05 89512 100 8 1
2003 12 05 89512 160 14 .9
2003 12 06 89512 180 22 -2.9
2003 12 06 89512 30 6 -.9
2003 12 06 89512 110 4 1.4
2003 12 06 89512 350 8 -.8
2003 12 07 89512 150 2 -5.1
2003 12 07 89512 180 14 -.7
2003 12 07 89512 100 16 1.2
2003 12 07 89512 100 8 1
2003 12 08 89512 160 24 -.5
2003 12 08 89512 130 32 -.6
2003 12 08 89512 100 18 -.6
2003 12 09 89512 120 22 -3.2
