31.1.2018 18:31:01,C,6,315
31.1.2018 18:41:01,C,6,252
31.1.2018 18:51:01,C,6,189
31.1.2018 19:01:01,C,6,064
31.1.2018 19:11:01,C,6,001
31.1.2018 19:21:01,C,5,938
31.1.2018 19:31:01,C,5,875
31.1.2018 19:41:01,C,5,812
31.1.2018 19:51:01,C,5,749
31.1.2018 20:01:01,C,5,749
31.1.2018 20:11:01,C,5,686
31.1.2018 20:21:01,C,5,623
31.1.2018 20:31:01,C,5,497
31.1.2018 20:41:01,C,5,435
31.1.2018 20:51:01,C,5,309
31.1.2018 21:01:01,C,5,246
31.1.2018 21:11:01,C,5,183
31.1.2018 21:21:01,C,5,057
31.1.2018 21:31:01,C,5,057
31.1.2018 21:41:01,C,4,994
31.1.2018 21:51:01,C,4,868
31.1.2018 22:01:01,C,4,805
31.1.2018 22:11:01,C,4,742
31.1.2018 22:21:01,C,4,617
31.1.2018 22:31:01,C,4,554
31.1.2018 22:41:01,C,4,491
31.1.2018 22:51:01,C,4,428
31.1.2018 23:01:01,C,4,302
31.1.2018 23:11:01,C,4,239
31.1.2018 23:21:01,C,4,176
31.1.2018 23:31:01,C,4,113
31.1.2018 23:41:01,C,4,05
31.1.2018 23:51:01,C,3,987
1.2.2018 0:01:01,C,3,924
1.2.2018 0:11:01,C,3,861
1.2.2018 0:21:01,C,3,798
1.2.2018 0:31:01,C,3,735
1.2.2018 0:41:01,C,3,609
1.2.2018 0:51:01,C,3,484
1.2.2018 1:01:01,C,3,421
1.2.2018 1:11:01,C,3,421
1.2.2018 1:21:01,C,3,421
1.2.2018 1:31:01,C,3,358
1.2.2018 1:41:01,C,3,295
1.2.2018 1:51:01,C,3,169
1.2.2018 2:01:01,C,3,106
1.2.2018 2:11:01,C,3,043
1.2.2018 2:21:01,C,2,98
1.2.2018 2:31:01,C,2,854
1.2.2018 2:41:01,C,2,791
1.2.2018 2:51:01,C,2,791
1.2.2018 3:01:01,C,2,728
1.2.2018 3:11:01,C,2,665
1.2.2018 3:21:01,C,2,602
1.2.2018 3:31:01,C,2,539
1.2.2018 3:41:01,C,2,539
1.2.2018 3:51:01,C,2,413
1.2.2018 4:01:01,C,2,413
1.2.2018 4:11:01,C,2,287
1.2.2018 4:21:01,C,2,35
1.2.2018 4:31:01,C,2,35
1.2.2018 4:41:01,C,2,224
1.2.2018 4:51:01,C,2,098
1.2.2018 5:01:01,C,2,161
1.2.2018 5:11:01,C,2,161
1.2.2018 5:21:01,C,2,287
1.2.2018 5:31:01,C,2,161
1.2.2018 5:41:01,C,2,098
1.2.2018 5:51:01,C,2,161
1.2.2018 6:01:01,C,2,287
1.2.2018 6:11:01,C,2,098
1.2.2018 6:21:01,C,2,224
1.2.2018 6:31:01,C,2,224
1.2.2018 6:41:01,C,2,287
1.2.2018 6:51:01,C,2,224
1.2.2018 7:01:01,C,2,287
1.2.2018 7:11:01,C,2,224
1.2.2018 7:21:01,C,2,287
1.2.2018 7:31:01,C,2,287
1.2.2018 7:41:01,C,2,35
1.2.2018 7:51:01,C,2,728
1.2.2018 8:01:01,C,2,665
1.2.2018 8:11:01,C,2,665
1.2.2018 8:21:01,C,2,791
1.2.2018 8:31:01,C,2,917
1.2.2018 8:41:01,C,2,98
1.2.2018 8:51:01,C,3,043
1.2.2018 9:01:01,C,3,043
1.2.2018 9:11:01,C,3,169
1.2.2018 9:21:01,C,3,358
1.2.2018 9:31:01,C,3,547
1.2.2018 9:41:01,C,3,987
1.2.2018 9:51:01,C,4,05
1.2.2018 10:01:01,C,3,924
1.2.2018 10:11:01,C,3,924
1.2.2018 10:21:01,C,4,05
1.2.2018 10:31:01,C,4,176
1.2.2018 10:41:01,C,4,617
